action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent
Driving Layup Shot,Layup,131,20000058,34.0443,0,0,-118.2698,7,2,0,2000-01,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,186,20000058,33.9873,51,57,-118.2188,2,2,0,2000-01,40,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,201,20000058,33.8543,167,190,-118.1028,0,2,0,2000-01,10,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,215,20000058,33.8543,-119,190,-118.3888,11,3,0,2000-01,2,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,225,20000058,33.9873,16,57,-118.2538,9,3,0,2000-01,10,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,236,20000058,33.9343,-84,110,-118.3538,7,3,0,2000-01,24,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,306,20000058,34.0023,-71,42,-118.3408,0,3,0,2000-01,1,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,368,20000058,33.9113,30,133,-118.2398,5,4,0,2000-01,1,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,425,20000058,33.8883,1,156,-118.2688,0,4,0,2000-01,46,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,11/7/00,LAL @ HOU,HOU
Jump Shot,Jump Shot,2,20000068,33.8333,132,211,-118.1378,11,1,0,2000-01,41,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/8/00,LAL @ SAS,SAS
Slam Dunk Shot,Dunk,11,20000068,34.0403,-8,4,-118.2778,10,1,0,2000-01,59,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,39,20000068,33.9173,132,127,-118.1378,6,1,0,2000-01,36,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,44,20000068,33.8563,-29,188,-118.2988,5,1,0,2000-01,54,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,70,20000068,33.9683,140,76,-118.1298,2,1,0,2000-01,24,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,74,20000068,34.0443,140,0,-118.1298,1,1,0,2000-01,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,79,20000068,33.8883,-1,156,-118.2708,1,1,0,2000-01,25,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,82,20000068,34.0403,-151,4,-118.4208,0,1,0,2000-01,47,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,101,20000068,33.9683,110,76,-118.1598,10,2,0,2000-01,57,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,115,20000068,33.9573,132,87,-118.1378,9,2,0,2000-01,37,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,184,20000068,33.7933,-58,251,-118.3278,3,2,0,2000-01,50,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,192,20000068,33.8843,-94,160,-118.3638,3,2,0,2000-01,15,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,215,20000068,33.8943,-193,150,-118.4628,0,2,0,2000-01,53,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,217,20000068,34.0443,140,0,-118.1298,0,2,0,2000-01,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,228,20000068,34.0353,39,9,-118.2308,11,3,0,2000-01,26,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,241,20000068,33.8943,24,150,-118.2458,9,3,0,2000-01,20,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Slam Dunk Shot,Dunk,253,20000068,34.0443,-1,0,-118.2708,7,3,0,2000-01,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,262,20000068,33.9113,119,133,-118.1508,6,3,0,2000-01,40,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,300,20000068,34.0253,119,19,-118.1508,3,3,0,2000-01,0,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,314,20000068,34.0023,-193,42,-118.4628,0,3,0,2000-01,48,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,322,20000068,33.9893,-166,55,-118.4358,0,3,0,2000-01,21,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,339,20000068,33.9283,24,116,-118.2458,10,4,0,2000-01,39,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,365,20000068,33.8883,-65,156,-118.3348,7,4,0,2000-01,8,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,370,20000068,34.0183,-166,26,-118.4358,6,4,0,2000-01,25,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,379,20000068,33.9683,-58,76,-118.3278,5,4,0,2000-01,14,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,395,20000068,33.9743,-37,70,-118.3068,3,4,0,2000-01,38,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/8/00,LAL @ SAS,SAS
Jump Shot,Jump Shot,4,20000098,33.8563,-94,188,-118.3638,11,1,0,2000-01,9,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/12/00,LAL vs. HOU,HOU
Driving Layup Shot,Layup,11,20000098,34.0443,0,0,-118.2698,10,1,0,2000-01,17,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Reverse Layup Shot,Layup,19,20000098,34.0443,0,0,-118.2698,9,1,0,2000-01,23,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Tip Shot,Tip Shot,20,20000098,34.0443,0,0,-118.2698,9,1,0,2000-01,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Slam Dunk Shot,Dunk,111,20000098,34.0443,0,0,-118.2698,3,1,0,2000-01,2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Driving Layup Shot,Layup,130,20000098,34.0443,0,0,-118.2698,0,1,0,2000-01,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,135,20000098,33.9033,85,141,-118.1848,0,1,0,2000-01,21,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,170,20000098,33.8863,-88,158,-118.3578,8,2,0,2000-01,50,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/12/00,LAL vs. HOU,HOU
Driving Dunk Shot,Dunk,174,20000098,34.0443,0,0,-118.2698,8,2,0,2000-01,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Running Hook Shot,Hook Shot,236,20000098,34.0443,0,0,-118.2698,0,2,0,2000-01,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,240,20000098,33.7683,1,276,-118.2688,0,2,0,2000-01,4,27,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,274,20000098,34.0523,155,-8,-118.1148,8,3,0,2000-01,38,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,307,20000098,34.0313,-155,13,-118.4248,5,3,0,2000-01,18,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,309,20000098,33.9113,-84,133,-118.3538,4,3,0,2000-01,34,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,317,20000098,34.0523,-178,-8,-118.4478,3,3,0,2000-01,51,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,320,20000098,33.9553,16,89,-118.2538,3,3,0,2000-01,40,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,322,20000098,33.9383,-48,106,-118.3178,3,3,0,2000-01,33,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,340,20000098,34.0313,-170,13,-118.4398,2,3,0,2000-01,5,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,362,20000098,33.9113,-119,133,-118.3888,0,3,0,2000-01,14,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,381,20000098,34.0043,9,40,-118.2608,10,4,0,2000-01,52,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,426,20000098,33.9623,-84,82,-118.3538,6,4,0,2000-01,34,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/12/00,LAL vs. HOU,HOU
Jump Shot,Jump Shot,444,20000098,33.9853,9,59,-118.2608,4,4,0,2000-01,57,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Driving Dunk Shot,Dunk,468,20000098,34.0443,0,0,-118.2698,3,4,0,2000-01,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Running Jump Shot,Jump Shot,488,20000098,33.9853,9,59,-118.2608,1,4,0,2000-01,38,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Tip Shot,Tip Shot,493,20000098,34.0443,0,0,-118.2698,1,4,0,2000-01,3,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/00,LAL vs. HOU,HOU
Driving Layup Shot,Layup,34,20000108,34.0443,0,0,-118.2698,7,1,0,2000-01,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Alley Oop Dunk Shot,Dunk,77,20000108,34.0443,0,0,-118.2698,3,1,0,2000-01,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,86,20000108,34.0483,129,-4,-118.1408,2,1,0,2000-01,25,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,93,20000108,33.9473,-98,97,-118.3678,0,1,0,2000-01,48,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,108,20000108,33.9663,167,78,-118.1028,11,2,0,2000-01,16,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,118,20000108,33.7953,108,249,-118.1618,10,2,0,2000-01,19,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/14/00,LAL vs. DEN,DEN
Running Jump Shot,Jump Shot,129,20000108,33.8693,100,175,-118.1698,9,2,0,2000-01,7,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/14/00,LAL vs. DEN,DEN
Layup Shot,Layup,199,20000108,34.0443,0,0,-118.2698,1,2,0,2000-01,54,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Driving Layup Shot,Layup,219,20000108,34.0443,0,0,-118.2698,0,2,0,2000-01,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,243,20000108,33.8753,115,169,-118.1548,10,3,0,2000-01,23,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,303,20000108,33.9723,1,72,-118.2688,5,3,0,2000-01,23,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Driving Dunk Shot,Dunk,352,20000108,34.0443,0,0,-118.2698,0,3,0,2000-01,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Jump Shot,Jump Shot,360,20000108,33.8143,113,230,-118.1568,11,4,0,2000-01,43,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/14/00,LAL vs. DEN,DEN
Layup Shot,Layup,368,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Slam Dunk Shot,Dunk,371,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
Layup Shot,Layup,416,20000108,34.0443,0,0,-118.2698,5,4,0,2000-01,37,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/00,LAL vs. DEN,DEN
